Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.18     0.00   125085     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >, __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > >(__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >, __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >) const
  0.00      0.18     0.00   121980     0.00     0.00  bool __gnu_cxx::operator< <diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > const&, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > const&)
  0.00      0.18     0.00   121980     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<diffusionstore> >, std::is_move_constructible<diffusionstore>, std::is_move_assignable<diffusionstore> >::value, void>::type std::swap<diffusionstore>(diffusionstore&, diffusionstore&)
  0.00      0.18     0.00   121980     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > >(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >)
  0.00      0.18     0.00   100010     0.00     0.00  periodic_correct(int, int)
  0.00      0.18     0.00    99876     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >::operator--()
  0.00      0.18     0.00    97659     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore const*, std::vector<diffusionstore, std::allocator<diffusionstore> > >::base() const
  0.00      0.18     0.00    83715     0.00     0.00  std::_Vector_base<diffusionstore, std::allocator<diffusionstore> >::_M_deallocate(diffusionstore*, unsigned long)
  0.00      0.18     0.00    80008     0.00     0.00  checkEquality(int, int, int, int)
  0.00      0.18     0.00    74280     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > std::__miter_base<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > >(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >)
  0.00      0.18     0.00    71338     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore2 const*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >::base() const
  0.00      0.18     0.00    64464     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >::operator+(long) const
  0.00      0.18     0.00    63714     0.00     0.00  __gnu_cxx::new_allocator<diffusionstore>::deallocate(diffusionstore*, unsigned long)
  0.00      0.18     0.00    63714     0.00     0.00  __gnu_cxx::new_allocator<diffusionstore>::allocate(unsigned long, void const*)
  0.00      0.18     0.00    63714     0.00     0.00  std::vector<diffusionstore, std::allocator<diffusionstore> >::_M_check_len(unsigned long, char const*) const
  0.00      0.18     0.00    63714     0.00     0.00  std::_Vector_base<diffusionstore, std::allocator<diffusionstore> >::_M_allocate(unsigned long)
  0.00      0.18     0.00    63714     0.00     0.00  std::allocator_traits<std::allocator<diffusionstore> >::deallocate(std::allocator<diffusionstore>&, diffusionstore*, unsigned long)
  0.00      0.18     0.00    63714     0.00     0.00  std::allocator_traits<std::allocator<diffusionstore> >::allocate(std::allocator<diffusionstore>&, unsigned long)
  0.00      0.18     0.00    63714     0.00     0.00  void std::vector<diffusionstore, std::allocator<diffusionstore> >::_M_realloc_insert<diffusionstore const&>(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, diffusionstore const&)
  0.00      0.18     0.00    63714     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.18     0.00    60802     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > >(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > const&)
  0.00      0.18     0.00    59450     0.00     0.00  std::vector<diffusionstore2, std::allocator<diffusionstore2> >::begin()
  0.00      0.18     0.00    59050     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore const*, std::vector<diffusionstore, std::allocator<diffusionstore> > >::__normal_iterator(diffusionstore const* const&)
  0.00      0.18     0.00    57140     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > std::__niter_wrap<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, diffusionstore*>(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, diffusionstore*)
  0.00      0.18     0.00    53600     0.00     0.00  linear_surface_interaction::operator()(int, int)
  0.00      0.18     0.00    50801     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >::operator+=(long)
  0.00      0.18     0.00    50801     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_val::operator()<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, diffusionstore const>(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, diffusionstore const&) const
  0.00      0.18     0.00    50801     0.00     0.00  void std::advance<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, long>(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >&, long)
  0.00      0.18     0.00    50801     0.00     0.00  void std::__advance<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, long>(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >&, long, std::random_access_iterator_tag)
  0.00      0.18     0.00    47572     0.00     0.00  diffusionstore2* std::__niter_base<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >(__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >)
  0.00      0.18     0.00    47559     0.00     0.00  std::vector<diffusionstore2, std::allocator<diffusionstore2> >::end()
  0.00      0.18     0.00    40008     0.00     0.00  vector1<self_interaction*>::operator[](int)
  0.00      0.18     0.00    40000     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore const*, std::vector<diffusionstore, std::allocator<diffusionstore> > > std::__miter_base<__gnu_cxx::__normal_iterator<diffusionstore const*, std::vector<diffusionstore, std::allocator<diffusionstore> > > >(__gnu_cxx::__normal_iterator<diffusionstore const*, std::vector<diffusionstore, std::allocator<diffusionstore> > >)
  0.00      0.18     0.00    40000     0.00     0.00  diffusionstore const* std::__niter_base<diffusionstore const*, std::vector<diffusionstore, std::allocator<diffusionstore> > >(__gnu_cxx::__normal_iterator<diffusionstore const*, std::vector<diffusionstore, std::allocator<diffusionstore> > >)
  0.00      0.18     0.00    37052     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<diffusionstore2, __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > >(diffusionstore2&, __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >) const
  0.00      0.18     0.00    35745     0.00     0.00  diffusionstore* std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<diffusionstore>(diffusionstore const*, diffusionstore const*, diffusionstore*)
  0.00      0.18     0.00    35745     0.00     0.00  diffusionstore* std::__copy_move_backward_a1<true, diffusionstore*, diffusionstore*>(diffusionstore*, diffusionstore*, diffusionstore*)
  0.00      0.18     0.00    35745     0.00     0.00  diffusionstore* std::__copy_move_backward_a2<true, diffusionstore*, diffusionstore*>(diffusionstore*, diffusionstore*, diffusionstore*)
  0.00      0.18     0.00    35669     0.00     0.00  diffusionstore2 const& std::forward<diffusionstore2 const&>(std::remove_reference<diffusionstore2 const&>::type&)
  0.00      0.18     0.00    35667     0.00     0.00  std::vector<diffusionstore2, std::allocator<diffusionstore2> >::_Temporary_value::_M_ptr()
  0.00      0.18     0.00    35667     0.00     0.00  diffusionstore2* std::__niter_base<diffusionstore2*>(diffusionstore2*)
  0.00      0.18     0.00    35667     0.00     0.00  diffusionstore2&& std::forward<diffusionstore2>(std::remove_reference<diffusionstore2>::type&)
  0.00      0.18     0.00    30001     0.00     0.00  vector1<int>::vector1(int)
  0.00      0.18     0.00    30001     0.00     0.00  vector1<int>::~vector1()
  0.00      0.18     0.00    30000     0.00     0.00  vector1<int>::operator=(vector1<int> const&)
  0.00      0.18     0.00    27139     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > std::move_backward<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > >(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >)
  0.00      0.18     0.00    27139     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > std::__copy_move_backward_a<true, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > >(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >)
  0.00      0.18     0.00    26604     0.00     0.00  no_self_attraction::operator()(int)
  0.00      0.18     0.00    25818     0.00     0.00  std::vector<diffusionstore, std::allocator<diffusionstore> >::_Temporary_value::_M_ptr()
  0.00      0.18     0.00    23906     0.00     0.00  bool __gnu_cxx::operator< <diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >(__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > const&, __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > const&)
  0.00      0.18     0.00    23906     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<diffusionstore2> >, std::is_move_constructible<diffusionstore2>, std::is_move_assignable<diffusionstore2> >::value, void>::type std::swap<diffusionstore2>(diffusionstore2&, diffusionstore2&)
  0.00      0.18     0.00    23906     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >, __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > >(__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >, __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >)
  0.00      0.18     0.00    23786     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > std::__miter_base<__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > >(__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >)
  0.00      0.18     0.00    23780     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore2 const*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >::__normal_iterator<diffusionstore2*>(__gnu_cxx::__normal_iterator<diffusionstore2*, __gnu_cxx::__enable_if<std::__are_same<diffusionstore2*, diffusionstore2*>::__value, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >::__type> const&)
  0.00      0.18     0.00    23779     0.00     0.00  void __gnu_cxx::new_allocator<diffusionstore2>::destroy<diffusionstore2>(diffusionstore2*)
  0.00      0.18     0.00    23779     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore2 const*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >::__normal_iterator(diffusionstore2 const* const&)
  0.00      0.18     0.00    23779     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore2 const*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >::difference_type __gnu_cxx::operator-<diffusionstore2 const*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >(__gnu_cxx::__normal_iterator<diffusionstore2 const*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > const&, __gnu_cxx::__normal_iterator<diffusionstore2 const*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > const&)
  0.00      0.18     0.00    23779     0.00     0.00  std::vector<diffusionstore2, std::allocator<diffusionstore2> >::cbegin() const
  0.00      0.18     0.00    23779     0.00     0.00  void std::allocator_traits<std::allocator<diffusionstore2> >::destroy<diffusionstore2>(std::allocator<diffusionstore2>&, diffusionstore2*)
  0.00      0.18     0.00    23778     0.00     0.00  diffusionstore2* std::__miter_base<diffusionstore2*>(diffusionstore2*)
  0.00      0.18     0.00    21892     0.00     0.00  bool __gnu_cxx::operator!=<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >(__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > const&, __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > const&)
  0.00      0.18     0.00    21891     0.00     0.00  __gnu_cxx::__ops::__iter_less_val()
  0.00      0.18     0.00    20683     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >::operator-(long) const
  0.00      0.18     0.00    20683     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > std::__unguarded_partition<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.18     0.00    20683     0.00     0.00  void std::__move_median_to_first<__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >, __gnu_cxx::__ops::_Iter_less_iter)
